X,Y,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_,RSSI__WiFi_signal_strength_dBm_,Hardware_Issues,Age_of_Data_at_Check__minutes_,ObjectId
-79.035728,35.932522,2019/06/25 08:04:27+00,4.1,4.18,5.2,8.06,15.51,15.23,14.37,81,61,998.48,Chapel Hill Public Library,outside,35.932522,-79.035728,31301,-85,0,,6136
-79.035728,35.932522,2019/06/25 08:04:27+00,4.1,4.18,5.2,8.06,15.51,15.23,14.37,81,61,998.48,Chapel Hill Public Library,outside,35.932522,-79.035728,31301,-85,0,,6137
-79.035728,35.932522,2019/06/25 08:04:27+00,4.1,4.18,5.2,8.06,15.51,15.23,14.37,81,61,998.48,Chapel Hill Public Library,outside,35.932522,-79.035728,31301,-85,0,,6138
-79.035728,35.932522,2019/06/25 08:04:27+00,4.1,4.18,5.2,8.06,15.51,15.23,14.37,81,61,998.48,Chapel Hill Public Library,outside,35.932522,-79.035728,31301,-85,0,,6139
-79.035728,35.932522,2019/06/25 08:04:27+00,4.1,4.18,5.2,8.06,15.51,15.23,14.37,81,61,998.48,Chapel Hill Public Library,outside,35.932522,-79.035728,31301,-85,0,,6140
-79.035728,35.932522,2019/06/25 08:04:27+00,4.1,4.18,5.2,8.06,15.51,15.23,14.37,81,61,998.48,Chapel Hill Public Library,outside,35.932522,-79.035728,31301,-85,0,,6141
-79.035728,35.932522,2019/06/25 08:04:27+00,4.1,4.18,5.2,8.06,15.51,15.23,14.37,81,61,998.48,Chapel Hill Public Library,outside,35.932522,-79.035728,31301,-85,0,,6142
-79.035728,35.932522,2019/06/25 09:04:27+00,4.77,4.4,4.65,6.58,14.61,15,14.34,80,63,998.79,Chapel Hill Public Library,outside,35.932522,-79.035728,34901,-81,0,,6143
-79.035728,35.932522,2019/06/25 09:04:27+00,4.77,4.4,4.65,6.58,14.61,15,14.34,80,63,998.79,Chapel Hill Public Library,outside,35.932522,-79.035728,34901,-81,0,,6144
-79.035728,35.932522,2019/06/25 09:04:27+00,4.77,4.4,4.65,6.58,14.61,15,14.34,80,63,998.79,Chapel Hill Public Library,outside,35.932522,-79.035728,34901,-81,0,,6145
-79.035728,35.932522,2019/06/25 09:04:27+00,4.77,4.4,4.65,6.58,14.61,15,14.34,80,63,998.79,Chapel Hill Public Library,outside,35.932522,-79.035728,34901,-81,0,,6146
-79.035728,35.932522,2019/06/25 10:02:27+00,4.56,4.5,4.57,5.79,13.83,14.79,14.31,79,63,999.46,Chapel Hill Public Library,outside,35.932522,-79.035728,38382,-85,2,,6147
-79.035728,35.932522,2019/06/25 10:02:27+00,4.56,4.5,4.57,5.79,13.83,14.79,14.31,79,63,999.46,Chapel Hill Public Library,outside,35.932522,-79.035728,38382,-85,2,,6148
-79.035728,35.932522,2019/06/25 10:02:27+00,4.56,4.5,4.57,5.79,13.83,14.79,14.31,79,63,999.46,Chapel Hill Public Library,outside,35.932522,-79.035728,38382,-85,2,,6149
-79.035728,35.932522,2019/06/25 10:02:27+00,4.56,4.5,4.57,5.79,13.83,14.79,14.31,79,63,999.46,Chapel Hill Public Library,outside,35.932522,-79.035728,38382,-85,2,,6150
-79.035728,35.932522,2019/06/25 10:02:27+00,4.56,4.5,4.57,5.79,13.83,14.79,14.31,79,63,999.46,Chapel Hill Public Library,outside,35.932522,-79.035728,38382,-85,2,,6151
-79.035728,35.932522,2019/06/25 10:02:27+00,4.56,4.5,4.57,5.79,13.83,14.79,14.31,79,63,999.46,Chapel Hill Public Library,outside,35.932522,-79.035728,38382,-85,2,,6152
-79.035728,35.932522,2019/06/25 10:02:27+00,4.56,4.5,4.57,5.79,13.83,14.79,14.31,79,63,999.46,Chapel Hill Public Library,outside,35.932522,-79.035728,38382,-85,2,,6153
-79.035728,35.932522,2019/06/25 10:02:27+00,4.56,4.5,4.57,5.79,13.83,14.79,14.31,79,63,999.46,Chapel Hill Public Library,outside,35.932522,-79.035728,38382,-85,2,,6154
-79.035728,35.932522,2019/06/25 11:02:29+00,4.39,4.46,4.5,5.39,13.3,14.64,14.29,81,62,1000.3,Chapel Hill Public Library,outside,35.932522,-79.035728,41983,-81,2,,6155
